timestamp,code,date,close,atr,iv,poc,adv20,buy_price,stop_loss,target_price,risk_reward,risk_reward_after_slippage,decision,action,suggested_shares,circuit_breaker
2026-03-18 14:05:16,NVDA,2026-03-17 20:00:00,181.93,22.01,0.0078,48.71,4252824341.0,92.22,157.16,211.34,,,HOLD_WITH_POSITION,持仓观望,0,False
2026-03-18 14:06:29,0700.HK,2026-03-18 05:50:54,547.5,31.61,,514.59,96499751.0,502.5,584.97,642.5,,,SELL,清仓,0,False
2026-03-18 14:06:39,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 14:09:46,0700.HK,2026-03-18 05:54:07,547.5,31.61,,514.59,96507166.0,502.5,584.97,642.5,,,SELL,清仓,0,False
2026-03-18 14:09:55,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 14:16:18,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 14:17:17,0700.HK,2026-03-18 06:01:31,547.5,31.61,,514.59,96522153.0,502.5,584.97,642.5,,,SELL,清仓,0,False
2026-03-18 14:17:29,TSLA,2026-03-17 20:00:00,399.27,30.2,0.0039,234.8,297654717.0,382.78,423.33,495.28,,,SELL,清仓,0,False
2026-03-18 14:20:40,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 14:20:52,TSLA,2026-03-17 20:00:00,399.27,30.2,0.0039,234.8,297654717.0,382.78,423.33,495.28,,,SELL,清仓,0,False
2026-03-18 14:21:03,QQQ,2026-03-17 20:00:01,603.31,18.33,0.002,605.43,264723359.0,591.33,591.18,630.0,257.8,14.9,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 14:57:47,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 14:58:18,601012,2026-03-18 06:43:04,18.52,1.3,,18.53,869440073.0,18.41,20.32,22.1,,,SELL,清仓,0,False
2026-03-18 15:00:53,TSLA,2026-03-17 20:00:00,399.27,30.2,0.0039,234.8,297654717.0,382.78,423.33,495.28,,,SELL,清仓,0,False
2026-03-18 15:01:44,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
